ENTITY_BKEY,ENTITY_NAME,ENTITY_COUNTRY,LEGAL_FORM,ENTITY_STATUS,REGISTRATION_AUTHORITY,ENTITY_CURRENCY,TRN,TIN,TAX_RESIDENCE,TIN_REGISTRATION_DATE,TIN_2,TAX_RESIDENCE_2,TIN_REGISTRATION_DATE_2,TIN_3,TAX_RESIDENCE_3,TIN_REGISTRATION_DATE_3,SERVICE_OFFICE,SCOPE_ADMIN_SERVICES,FORMATION_DATE,VAT_GST_CODE,VAT_GST_COUNTRY,VAT_GST_CODE_2,VAT_GST_COUNTRY_2,VAT_GST_CODE_3,VAT_GST_COUNTRY_3,ACCOUNTING_SYSTEM,_MODIFIED
11876820,"BPEA EQT Mid-Market Growth, SCSp",LU,Société en commandite spéciale,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",USD,B272726,20225818887,LU,14/11/2022,,,,,,,VISTRA,Fund Administration,14/11/2022,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10058306,"Virtue Co-investment, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,121146,,,,,,,,,,VISTRA,Fund Administration,05/12/2022,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10059572,SECALE PTE. LIMITED,SG,Private Limited Company,Active,Accounting and Corporate Regulatory Authority (‘ACRA’),USD,202244575K,202244575K,SG,14/12/2022,,,,,,,VISTRA,Fund Administration,14/12/2022,202244575K,SG,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11813351,Zonnebaars TopCo B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,88521966,864666457,NL,16/12/2022,,,,,,,VISTRA,Fund Administration,16/12/2022,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11813355,Kroeskarper TopCo B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,88526496,864668818,NL,16/12/2022,,,,,,,VISTRA,Fund Administration,16/12/2022,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11933191,BPEA HKGF Feeder GP Limited,KY,Exempted Company,Active,Cayman Islands General Registry,USD,396302,,,,,,,,,,VISTRA,Fund Administration,19/12/2022,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11813356,Kroeskarper MidCo B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,88534308,864673425,NL,19/12/2022,,,,,,,VISTRA,Fund Administration,19/12/2022,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11813352,Zonnebaars MidCo B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,88534359,864673462,NL,19/12/2022,,,,,,,VISTRA,Fund Administration,19/12/2022,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11813357,Kroeskarper Holding B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,88553612,864684745,NL,20/12/2022,,,,,,,VISTRA,Fund Administration,20/12/2022,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11813353,Zonnebaars Holding B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,88554031,864684976,NL,20/12/2022,,,,,,,VISTRA,Fund Administration,20/12/2022,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11933110,"BPEA HKGF Co-investment, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,121324,,,,,,,,,,VISTRA,Fund Administration,21/12/2022,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11921486,"BPEA HKGF Feeder, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,121341,,,,,,,,,,VISTRA,Fund Administration,21/12/2022,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11813358,Kroeskarper Netherlands B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,88561224,864689810,NL,21/12/2022,,,,,,,VISTRA,Fund Administration,21/12/2022,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11813354,Zonnebaars Netherlands B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,88561623,864690113,NL,21/12/2022,,,,,,,VISTRA,Fund Administration,21/12/2022,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11801256,"Virtue Co-investment, L.P.2",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,121418,,,,,,,,,,VISTRA,Fund Administration,03/01/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11802204,STARNMEER POOLING II PTE. LIMITED,SG,Private Limited Company,Active,Accounting and Corporate Regulatory Authority (‘ACRA’),USD,202304583M,202304583M,SG,08/02/2023,,,,,,,VISTRA,Fund Administration,08/02/2023,202304583M,SG,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11876865,"Thevelia Finance, S.à r.l.",LU,Société à responsabilité limitée,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",EUR,B275734,20232410508,LU,24/02/2023,,,,,,,VISTRA,Fund Administration,24/02/2023,LU36399978,LU,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11919364,"Virtue Co-investment, L.P.3",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,122153,,,,,,,,,,VISTRA,Fund Administration,08/03/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11971435,EQT Exeter Asia Pacific Logistics Value Fund II SCSp,LU,Société en commandite spéciale,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",USD,B276287,20235803454,LU,27/03/2023,,,,,,,VISTRA,Fund Administration,27/03/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
